"","x"
"1000","PF02211.19"
"1001","PF02219.21"
"1002","PF02222.26"
"1003","PF02223.21"
"1004","PF02224.22"
"1005","PF02225.26"
"1006","PF02230.20"
"1007","PF02233.20"
"1008","PF02237.21"
"1009","PF02239.20"
"1010","PF02254.22"
"1011","PF02261.20"
"1012","PF02265.20"
"1013","PF02272.23"
"1014","PF02275.22"
"1015","PF02276.22"
"1016","PF02277.21"
"1017","PF02281.20"
"1018","PF02283.20"
"1019","PF02289.20"
"1020","PF02300.21"
"1021","PF02308.20"
"1022","PF02310.23"
"1023","PF02311.23"
"1024","PF02321.22"
"1025","PF02322.19"
"1026","PF02325.21"
"1027","PF02326.19"
"1028","PF02347.20"
"1029","PF02348.23"
"1030","PF02350.23"
"1031","PF02353.24"
"1032","PF02355.20"
"1033","PF02357.23"
"1034","PF02361.20"
"1035","PF02366.22"
"1036","PF02367.21"
"1037","PF02368.22"
"1038","PF02371.20"
"1039","PF02374.19"
"1040","PF02378.22"
"1041","PF02381.22"
"1042","PF02384.20"
"1043","PF02386.20"
"1044","PF02388.20"
"1045","PF02390.21"
"1046","PF02391.21"
"1047","PF02397.20"
"1048","PF02401.22"
"1049","PF02403.26"
"1050","PF02405.20"
"1051","PF02410.19"
"1052","PF02412.22"
"1053","PF02416.20"
"1054","PF02417.19"
"1055","PF02419.21"
"1056","PF02421.22"
"1057","PF02423.19"
"1058","PF02424.19"
"1059","PF02427.21"
"1060","PF02433.19"
"1061","PF02436.22"
"1062","PF02441.23"
"1063","PF02445.20"
"1064","PF02446.21"
"1065","PF02449.19"
"1066","PF02450.19"
"1067","PF02452.21"
"1068","PF02457.20"
"1069","PF02460.22"
"1070","PF02462.19"
"1071","PF02463.23"
"1072","PF02464.21"
"1073","PF02465.22"
"1074","PF02467.20"
"1075","PF02468.19"
"1076","PF02469.26"
"1077","PF02470.24"
"1078","PF02472.20"
"1079","PF02475.20"
"1080","PF02481.19"
"1081","PF02482.23"
"1082","PF02491.24"
"1083","PF02492.23"
"1084","PF02493.24"
"1085","PF02494.20"
"1086","PF02501.21"
"1087","PF02502.22"
"1088","PF02503.21"
